transect,ac_erect_single,ag_articulated_calcareous,ag_corticated_foliose,ag_corticated_macrophyte,cca_crustose,cy_filamentous,hc_arborescent,hc_bushy,hc_column,hc_encrusting,hc_foliose,hc_massive,hc_table,oc_arborescent,oc_bushy,oc_cluster,oc_digitate,oc_encrusting,oc_lobate,oc_massive,sg,sp_encrusting,sp_massive,sp_repent,turf_filamentous,zo_encrusting,zo_massive
Dongsha_SouthwestOuterAtoll_20m_T1,0.083048996,0,0,0.005512297,10.01471854,0.008163576,0,0.036755432,0,2.840523875,0.001870101,0.146867548,0.03632221,0,0.013884377,0,0,0,0.00133924,0,0,0,0,0,6.057170889,0,0
Dongsha_SouthwestOuterAtoll_20m_T2,0,0,0,0,5.917007306,0.034480386,0,0.25199815,0.008878126,4.809122617,0,0.107685538,0.730337658,0,0.035543795,0,0.036765057,0,0,0,0,0,0.009613712,0.003187769,5.061247678,0,0
Dongsha_SouthwestOuterAtoll_20m_T3,0,0,0,0,5.489666198,0,0,0.084746945,0.050785411,4.650809982,0.012699162,0.122024792,0.059766621,0,0,0,0,0,0.004779936,0,0,0,0,0,7.077485576,0,0
Dongsha_SouthwestOuterAtoll_20m_T4,0,0,0,0,5.453581548,0.002773918,0.030225202,0.184622917,0.046078849,5.278067617,0.003699133,0.1801535,0.289541541,0,0,0,0,0,0,0,0,0.001699302,0,0,6.745552422,0,0
Dongsha_WestInnerAtoll_5m_T1,0,0,0,0,6.179182219,0.054385783,0,0,0.053820919,0.465491039,0,0.036161533,0,0,0,0.023426084,0.071535514,0,0,0,0,0.001855557,0,0.040358835,9.209541738,0,0
Dongsha_WestInnerAtoll_5m_T2,0.007082726,0,0.009307208,0.003104554,7.769709711,0.004918429,0,0,0.049616133,0.639121715,0,0.014335513,0,0,0,0.006044887,0,0,0,0,0,0.000656262,0,0.025444786,6.686031093,0.013359012,0
Dongsha_WestInnerAtoll_5m_T3,0.001883855,0,0,0,9.174853093,0,0,0,0.036835397,0.553284541,0.005726447,0.0641277,0.023023913,0,0.000804208,0,0.032698936,0,0,0,0,0.001756117,0,0.004298339,6.988095233,0,0
Dongsha_WestInnerAtoll_5m_T4,0,0,0.033095419,0,6.026363492,0.013182409,0,0,0,1.94247165,0.143377214,0.154032355,0,0,0,0,0.036793558,0,0,0,0,0.001976098,0,0.038803509,7.808246504,0,0
Dongsha_WestInnerAtoll_5m_T5,0,0,0.038768517,0,9.167148544,0.016408093,0,0,0.017210512,1.099950027,0.036371133,0.692445571,0,0,0.010913534,0.00669341,0.054211977,0,0.003889386,0,0,0.003324736,0,0.009403371,5.956471548,0,0
East_Fenniaolin_5m_T1,0,0.034474394,0.453649797,0.011885943,1.156245095,0,0,0,0,0.145674797,0,0.009448304,0,0,0,0,0,0,0,0,0,0,0,0.018068277,11.26530515,0,0
East_Fenniaolin_5m_T2,0,0.164009574,2.813991288,0.030191587,1.582584489,0,0,0,0,0.226502449,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066451389,13.17875787,0,0
East_Fenniaolin_5m_T3,0,0.053078816,0.44058665,0.001594408,2.608287429,0.019817683,0,0.09752326,0,0.417581123,0,0,0.007476474,0.002579479,0,0,0.068663353,0,0.103412835,0.003103754,0,0,0,0.149166654,16.36823744,0,0
East_Fenniaolin_5m_T4,0,0.064342037,0.022454025,0.00351342,2.392639451,0.047579952,0,0.185752155,0.001085261,2.451594827,0.012908506,0.226683014,0.080653444,0.008962693,0.088593642,0.466028198,1.391847812,0,0.540581068,0.031615581,0,0.006010335,0,0.179686807,10.34128835,0,0
East_Fenniaolin_5m_T5,0,0.035148898,0.045237854,0,2.672708594,0.039563921,0.006964261,1.392041359,0.023721191,3.511148649,0.379765828,0.105598591,0.019010204,0,0.017781844,0.005614746,3.979206668,0,0.644525052,0,0,0.043914759,0,0.294750042,6.660031133,0,0
East_Jiamuziwan_5m_T1,0,0.152550133,0.080011137,0.038454467,4.662360986,0,0.226543642,0.434499277,0.012852541,4.614161653,0.047064557,0.048212434,0,0.102040775,0.008989909,0,1.45157918,0,0.036545017,0,0,0,0,0.060971166,6.651907476,0.035667406,0
East_Jiamuziwan_5m_T2,0,0.160520146,0.030258485,0.038736858,5.209788032,0,0.495344528,0.495487826,0.177277845,2.938177976,0.063825972,0.087862621,0.113455186,0.046469228,0,0.0035185,1.29776036,0,0.020913183,0,0,0.006612273,0,0.142080732,7.965099958,0,0
East_Jiamuziwan_5m_T3,0,0.121424774,0.007177853,0.014770067,5.249241386,0.00071199,0.203943181,0.543668319,0.041543114,4.599682198,0.154922979,0.170418611,0.013401709,0.108250525,0.001538209,0,0.921228002,0,0,0,0,0.009126071,0,0.073112943,5.993672247,0,0
East_Jiamuziwan_5m_T4,0,0.733591279,0.017799044,0.004126718,5.139590823,0,0.133289381,0.2917854,0.06102456,4.711159072,0.12505072,0.301197508,0.014003301,0.017305008,0,0,0.887827785,0,0.018449156,0.002039621,0,0,0,0.133814487,4.585871553,0,0
East_Jiamuziwan_5m_T5,0,0.334994967,0,0.035488813,4.929167705,0.026518259,0.428583706,2.178691454,0.292369631,4.436338154,0.09625546,0.059138175,0.030525918,0.261811816,0,0,1.875938778,0,0.041986071,0,0,0,0.013306742,0.133562602,4.427886966,0,0
East_Jihui_15m_T1,0,0.068463985,0.471544967,0.015220646,3.398939005,0.002519355,0,0,0,1.028219282,0.013613693,0.106886437,0,0,0,0,0.085156286,0,0.167760409,0,0,0,0,0.028045091,5.745020676,0,0
East_Jihui_15m_T2,0,0.073271268,0.241269204,0.003668576,2.48658661,0,0,0,0.165474501,1.527413795,0,0.145420921,0,0,0,0.009499641,0.006754972,0,0,0,0,0.013515444,0,0.011401438,5.124833107,0,0
East_Jihui_15m_T3,0,0.131795333,0.179917529,0.017025991,2.704758424,0.011988283,0,0,0.111795688,1.087607485,0.018062205,0.173097056,0.034941748,0,0.022271816,0,0.072851711,0,0,0,0,0.00261836,0,0,5.316969789,0,0
East_Jihui_15m_T4,0,0.083732949,0.131878099,0,3.093813908,0.00802438,0,0.018075371,1.195321163,1.40117643,0.034292113,0.17144171,0.033904699,0,0.037586725,0,0.061795052,0,0.063395866,0.006081501,0,0.001951505,0,0.015003481,6.771413403,0,0
East_Jihui_15m_T5,0,0.120949155,0.400555413,0.013291691,3.402887165,0.050222432,0,0.035893297,0.186974399,2.741569989,0.028584302,0.324582212,0,0,0.064534831,0.021334221,0.029580962,0.011730065,0.007982739,0.016401158,0,0,0,0,7.043167224,0,0
East_Jihui_5m_T1,0,0.03493361,0.060008338,0.002570809,1.494673752,0.02717162,0,0.107642564,0,3.869290575,0.088323565,1.986902619,0.134465213,0,0,0,0.841481351,0,0.083001395,0.035920283,0,0.001388692,0,0.072301502,6.232842926,0,0
East_Jihui_5m_T2,0,0.006805319,0.088235231,0.035786092,1.972240213,0.020461898,0.210411588,0.721433379,0.035796891,5.087886109,0.204693236,0.76732711,0.081057883,0.038951931,0.009584572,0,0.743796317,0,0.090012381,0,0,0,0,0.209921044,7.139830549,0,0
East_Jihui_5m_T3,0,0.082973425,0.043948724,0.052542326,1.770008094,0,0.087462916,0.424655513,0.177754875,2.464368758,0.123878236,0.439370279,0.051286048,0.034125722,0,0,0.295284573,0,0.24182736,0.189432485,0,0.006420669,0,0.14452635,8.91266147,0.009164413,0
East_Jihui_5m_T4,0,0,0.064596075,0.013500315,2.023656706,0.000924232,0.202585563,0.798812291,0.188541174,3.919408084,0.127017556,0.349986101,0.041333633,0.025274838,0.000646575,0,0.703147472,0,0.00841977,0,0,0.007446712,0,0.12362345,7.379705378,0,0
East_Jihui_5m_T5,0,0.036363679,0.310886634,0.03466993,2.009167582,0.03115246,0,0.308366427,0.105834593,2.632316163,0.220215567,0.217435594,0.063005592,0.00087878,0.014158623,0.025912621,0.6363602,0,0.095216939,0,0,0.00074335,0,0.177204524,8.877380791,0,0
East_Jiqi_5m_T1,0,0.161111734,0.04449713,0.061407752,1.859979382,0,0,0.037329068,0,2.550387937,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067397856,14.23596983,0.000834351,0
East_Jiqi_5m_T2,0,0.246874109,0.033391877,0.21030686,2.5540256,0.034523395,0,0.250344076,0.017224683,2.86582617,0,0.332769179,0,0,0,0,0.190434887,0,0.01605881,0,0,0,0,0.050677424,11.71780217,0.041031013,0
East_Jiqi_5m_T3,0,0.02358505,0.086349074,0.122197435,1.646045105,0.003149853,0,0.217326235,0.081868002,1.645898036,0,0.01046325,0,0,0,0,0,0,0.030620715,0,0,0,0,0.047885829,13.39898144,0,0
East_Jiqi_5m_T4,0,0.235013534,0.06955618,0.116605325,2.534390993,0,0,0.78050947,0.008740331,2.994562216,0,0.0419987,0,0,0,0,0.007722931,0,0,0,0,0.006134307,0,0.030849695,11.597195,0.044066616,0.006015317
East_Jiqi_5m_T5,0,0.247998992,0,0.149676859,3.210014426,0,0,0.126579523,0,1.882158132,0,0.041360183,0,0,0,0,0.020091327,0,0,0,0,0,0,0.001508912,11.94682882,0.040688793,0
East_Shitiping_10m_T1,0,0.127670134,0.180851434,0.038616418,5.0338741,0.017421984,0,0.105293364,0.033483793,3.066334972,0.074383958,0.065425445,0.157737225,0,0.092450386,0.043650894,4.934043181,0,0.782647696,0.363216012,0,0.018508163,0,0.003163066,4.672348572,0,0
East_Shitiping_10m_T2,0,0.127516149,0.041730672,0.002528355,3.106351331,0.007279746,0,0.058730699,0,2.833923544,0.223652297,0.169299058,0.087653015,0,0.054219019,0.027635278,2.804238647,0,1.34331006,0.326565588,0,0.006857053,0,0.033082521,4.876375076,0.036280974,0
East_Shitiping_10m_T3,0,0.254057294,0.045470904,0.083395096,3.451339573,0.036562134,0,0.063491262,0.073229449,3.223321383,0.057098023,0.270761318,0.218839307,0,0.007644806,0,3.989841996,0,0.754655149,0.113510077,0,0.035915601,0.036691298,0.088721226,5.900600557,0,0
East_Shitiping_10m_T4,0,0.14883218,0.135152719,0.054211489,2.729016211,0.063327579,0,0.186485416,0.075297804,4.225878199,0.062608058,0.102237504,0.186269521,0.024515909,0.016786661,0.037940292,2.373947804,0,0.687598646,0.178463426,0,0,0,0.009167871,7.544497586,0.016309739,0.006750265
East_Shitiping_10m_T5,0,0.007928183,0.055944151,0.027551248,1.934820723,0,0,0.155892326,0.023927264,2.626653977,0.030834339,0.41170932,0.14555755,0,0.009628834,0.030648695,2.145801154,0,6.072671542,0.741200485,0,0.023346458,0,0.017831132,4.59832691,0,0
East_Shitiping_5m_T1,0,0.20947796,0.102723519,0.040471597,4.576486423,0,0,0.331125009,0.128419344,5.5248755,0.02168285,0.177832114,0.013767021,0,0,0,1.061402513,0,0,0,0,0,0,0.067244275,6.592383374,0.065889645,0
East_Shitiping_5m_T2,0,0.072840437,0.045798629,0.050338191,4.142742467,0.024215728,0,0.727973282,0.051564187,2.534745832,0.046690044,0.110822144,0.070713036,0,0,0,0.457302379,0,0.006209622,0,0,0,0,0,10.46064076,0,0
East_Shitiping_5m_T3,0,0.039263248,0,0,3.550219439,0.031911445,0,0.369646098,0.025430226,4.742103999,0.573858715,0.843538642,0.016262669,0,0.068120991,0.036738062,2.231966089,0,0.021762815,0,0,0.004367309,0,0.013722887,7.2465188,0.209032167,0.020565979
East_Shitiping_5m_T4,0,0.079776681,0.045367318,0.062485854,3.408077723,0.02724214,0,0.376213786,0.026454346,3.334676455,0.095754101,0.05496932,0.150191524,0,0.007032679,0.04898472,4.955396161,0,0.417776132,0.359263516,0,0.033988159,0,0.103248553,6.148791443,0.056740509,0.007286747
East_Shitiping_5m_T5,0,0.163080568,0,0.012624693,3.294085182,0,0,0.157210338,0.068189067,3.879855446,0.08107995,0.227177613,0.029758094,0,0.008351488,0,6.798463062,0,0.359600501,0.209905814,0,0.000812955,0,0.027373132,4.12955011,0.057733356,0
East_Shiyusan_5m_T1,0,0.619096263,0.006749669,0.48215014,9.274107027,0,0,0.036745958,0.003014163,1.222406652,0,0.005785602,0,0,0,0,0.024698642,0.009901731,0,0,0,0.077724593,0.029960624,0.174430679,8.709337742,0,0
